file,emotion,gender,speaker,language
ASED_V1/04Sad/s4-07-02-01-31.wav,sadness,female,31,amharic
ASED_V1/04Sad/s4-02-02-02-28.wav,sadness,male,28,amharic
ASED_V1/04Sad/s4-05-01-02-20.wav,sadness,male,20,amharic
ASED_V1/04Sad/s4-01-02-02-26.wav,sadness,male,26,amharic
ASED_V1/04Sad/s4-02-01-01-01.wav,sadness,female,01,amharic
ASED_V1/04Sad/s4-02-01-01-09.wav,sadness,female,09,amharic
ASED_V1/04Sad/s4-03-02-01-11.wav,sadness,female,11,amharic
ASED_V1/04Sad/s4-06-01-01-21.wav,sadness,female,21,amharic
ASED_V1/04Sad/s4-05-02-02-10.wav,sadness,male,10,amharic
ASED_V1/04Sad/s4-03-02-02-41.wav,sadness,male,41,amharic
ASED_V1/04Sad/s4-06-02-01-29.wav,sadness,female,29,amharic
ASED_V1/04Sad/s4-03-02-01-48.wav,sadness,female,48,amharic
ASED_V1/04Sad/s4-03-01-02-26.wav,sadness,male,26,amharic
ASED_V1/04Sad/s4-06-02-01-27.wav,sadness,female,27,amharic
ASED_V1/04Sad/s4-07-02-02-26.wav,sadness,male,26,amharic
ASED_V1/04Sad/s4-03-02-01-21.wav,sadness,female,21,amharic
ASED_V1/04Sad/s4-04-01-01-25.wav,sadness,female,25,amharic
ASED_V1/04Sad/s4-06-02-02-53.wav,sadness,male,53,amharic
ASED_V1/04Sad/s4-04-01-01-05.wav,sadness,female,05,amharic
ASED_V1/04Sad/s4-04-02-02-06.wav,sadness,male,06,amharic
ASED_V1/04Sad/s4-04-02-02-41.wav,sadness,male,41,amharic
ASED_V1/04Sad/s4-02-02-02-02.wav,sadness,male,02,amharic
ASED_V1/04Sad/s4-03-02-02-20.wav,sadness,male,20,amharic
ASED_V1/04Sad/s4-03-01-01-25.wav,sadness,female,25,amharic
ASED_V1/04Sad/s4-04-01-02-20.wav,sadness,male,20,amharic
ASED_V1/04Sad/s4-03-02-02-53.wav,sadness,male,53,amharic
ASED_V1/04Sad/s4-06-02-02-50.wav,sadness,male,50,amharic
ASED_V1/04Sad/s4-03-01-01-29.wav,sadness,female,29,amharic
ASED_V1/04Sad/s4-06-02-02-45.wav,sadness,male,45,amharic
ASED_V1/04Sad/s4-06-01-02-28.wav,sadness,male,28,amharic
ASED_V1/04Sad/s4-05-01-01-27.wav,sadness,female,27,amharic
ASED_V1/04Sad/s4-03-01-02-52.wav,sadness,male,52,amharic
ASED_V1/04Sad/s4-07-02-01-21.wav,sadness,female,21,amharic
ASED_V1/04Sad/s4-02-02-02-06.wav,sadness,male,06,amharic
ASED_V1/04Sad/s4-07-02-01-27.wav,sadness,female,27,amharic
ASED_V1/04Sad/s4-02-01-01-25.wav,sadness,female,25,amharic
ASED_V1/04Sad/s4-06-02-02-52.wav,sadness,male,52,amharic
ASED_V1/04Sad/s4-03-01-02-41.wav,sadness,male,41,amharic
ASED_V1/04Sad/s4-05-02-01-13.wav,sadness,female,13,amharic
ASED_V1/04Sad/s4-01-02-01-25.wav,sadness,female,25,amharic
ASED_V1/04Sad/s4-04-02-01-05.wav,sadness,female,05,amharic
ASED_V1/04Sad/s4-07-01-01-25.wav,sadness,female,25,amharic
ASED_V1/04Sad/s4-07-01-02-20.wav,sadness,male,20,amharic
ASED_V1/04Sad/s4-04-01-01-31.wav,sadness,female,31,amharic
ASED_V1/04Sad/s4-04-01-02-54.wav,sadness,male,54,amharic
ASED_V1/04Sad/s4-07-01-02-55.wav,sadness,male,55,amharic
ASED_V1/04Sad/s4-05-02-02-54.wav,sadness,male,54,amharic
ASED_V1/04Sad/s4-03-02-02-52.wav,sadness,male,52,amharic
ASED_V1/04Sad/s4-03-02-02-51.wav,sadness,male,51,amharic
ASED_V1/04Sad/s4-01-01-02-39.wav,sadness,male,39,amharic
ASED_V1/04Sad/s4-06-01-01-01.wav,sadness,female,01,amharic
ASED_V1/04Sad/s4-05-01-02-53.wav,sadness,male,53,amharic
ASED_V1/04Sad/s4-06-02-01-11.wav,sadness,female,11,amharic
ASED_V1/04Sad/s4-03-01-01-13.wav,sadness,female,13,amharic
ASED_V1/04Sad/s4-06-01-02-45.wav,sadness,male,45,amharic
ASED_V1/04Sad/s4-04-01-02-53.wav,sadness,male,53,amharic
ASED_V1/04Sad/s4-07-02-02-06.wav,sadness,male,06,amharic
ASED_V1/04Sad/s4-07-02-02-20.wav,sadness,male,20,amharic
ASED_V1/04Sad/s4-05-02-02-53.wav,sadness,male,53,amharic
ASED_V1/04Sad/s4-05-01-02-45.wav,sadness,male,45,amharic
ASED_V1/04Sad/s4-02-01-01-03.wav,sadness,female,03,amharic
ASED_V1/04Sad/s4-02-02-02-39.wav,sadness,male,39,amharic
ASED_V1/04Sad/s4-05-01-01-21.wav,sadness,female,21,amharic
ASED_V1/04Sad/s4-03-02-02-10.wav,sadness,male,10,amharic
ASED_V1/04Sad/s4-04-01-01-01.wav,sadness,female,01,amharic
ASED_V1/04Sad/s4-05-02-02-06.wav,sadness,male,06,amharic
ASED_V1/04Sad/s4-06-01-01-29.wav,sadness,female,29,amharic
ASED_V1/04Sad/s4-01-01-01-47.wav,sadness,female,47,amharic
ASED_V1/04Sad/s4-04-01-02-23.wav,sadness,male,23,amharic
ASED_V1/04Sad/s4-02-01-02-41.wav,sadness,male,41,amharic
ASED_V1/04Sad/s4-07-01-01-05.wav,sadness,female,05,amharic
ASED_V1/04Sad/s4-02-02-02-36.wav,sadness,male,36,amharic
ASED_V1/04Sad/s4-03-02-01-23.wav,sadness,female,23,amharic
ASED_V1/04Sad/s4-02-02-01-11.wav,sadness,female,11,amharic
ASED_V1/04Sad/s4-06-02-02-26.wav,sadness,male,26,amharic
ASED_V1/04Sad/s4-07-01-01-13.wav,sadness,female,13,amharic
ASED_V1/04Sad/s4-03-01-02-28.wav,sadness,male,28,amharic
ASED_V1/04Sad/s4-06-01-02-39.wav,sadness,male,39,amharic
ASED_V1/04Sad/s4-05-02-02-20.wav,sadness,male,20,amharic
ASED_V1/04Sad/s4-05-01-01-01.wav,sadness,female,01,amharic
