file,start,end,speaker,gender,age,duration,transcription,emotion,emotion.confidence,class_label
../../../data/emodb/emodb/wav/12a01Fb.wav,0 days,0 days 00:00:01.863625,12,male,30,1.8636249999999999,a01,happiness,0.95,happiness
../../../data/emodb/emodb/wav/12a01Wc.wav,0 days,0 days 00:00:02.358812500,12,male,30,2.358812,a01,anger,0.95,anger
../../../data/emodb/emodb/wav/12a02Wa.wav,0 days,0 days 00:00:01.507437500,12,male,30,1.507437,a02,anger,0.9,anger
../../../data/emodb/emodb/wav/12a02Wc.wav,0 days,0 days 00:00:01.465812500,12,male,30,1.4658120000000001,a02,anger,0.95,anger
../../../data/emodb/emodb/wav/12a04Wc.wav,0 days,0 days 00:00:01.577625,12,male,30,1.577625,a04,anger,0.9,anger
../../../data/emodb/emodb/wav/12a05Wb.wav,0 days,0 days 00:00:03.485250,12,male,30,3.48525,a05,anger,0.95,anger
../../../data/emodb/emodb/wav/12a07Wa.wav,0 days,0 days 00:00:02.332750,12,male,30,2.33275,a07,anger,0.8,anger
../../../data/emodb/emodb/wav/12b01Wa.wav,0 days,0 days 00:00:02.237250,12,male,30,2.23725,b01,anger,0.95,anger
../../../data/emodb/emodb/wav/12b02Fb.wav,0 days,0 days 00:00:03.304000,12,male,30,3.304,b02,happiness,0.85,happiness
../../../data/emodb/emodb/wav/12b02Wa.wav,0 days,0 days 00:00:02.783750,12,male,30,2.78375,b02,anger,1.0,anger
../../../data/emodb/emodb/wav/12b02Wb.wav,0 days,0 days 00:00:02.804125,12,male,30,2.804125,b02,anger,1.0,anger
../../../data/emodb/emodb/wav/12b02Wd.wav,0 days,0 days 00:00:02.649875,12,male,30,2.6498749999999998,b02,anger,1.0,anger
../../../data/emodb/emodb/wav/12b09Wc.wav,0 days,0 days 00:00:02.438187500,12,male,30,2.438187,b09,anger,0.95,anger
../../../data/emodb/emodb/wav/12b10Wa.wav,0 days,0 days 00:00:02.549312500,12,male,30,2.549312,b10,anger,1.0,anger
../../../data/emodb/emodb/wav/14a01Wa.wav,0 days,0 days 00:00:01.637812500,14,female,35,1.637812,a01,anger,0.95,anger
../../../data/emodb/emodb/wav/14a01Wc.wav,0 days,0 days 00:00:01.972437500,14,female,35,1.972437,a01,anger,0.95,anger
../../../data/emodb/emodb/wav/14a02Fd.wav,0 days,0 days 00:00:01.681687500,14,female,35,1.6816870000000002,a02,happiness,0.9,happiness
../../../data/emodb/emodb/wav/14a02Wa.wav,0 days,0 days 00:00:02.012750,14,female,35,2.01275,a02,anger,0.95,anger
../../../data/emodb/emodb/wav/14a02Wc.wav,0 days,0 days 00:00:02.092625,14,female,35,2.092625,a02,anger,0.95,anger
../../../data/emodb/emodb/wav/14a04Wb.wav,0 days,0 days 00:00:01.736812500,14,female,35,1.736812,a04,anger,1.0,anger
../../../data/emodb/emodb/wav/14a04Wc.wav,0 days,0 days 00:00:02.510062500,14,female,35,2.510062,a04,anger,1.0,anger
../../../data/emodb/emodb/wav/14a05Fa.wav,0 days,0 days 00:00:03.246187500,14,female,35,3.246187,a05,happiness,1.0,happiness
../../../data/emodb/emodb/wav/14a05Fb.wav,0 days,0 days 00:00:03.128687500,14,female,35,3.128687,a05,happiness,1.0,happiness
../../../data/emodb/emodb/wav/14a05Wa.wav,0 days,0 days 00:00:04.006812500,14,female,35,4.006812,a05,anger,1.0,anger
../../../data/emodb/emodb/wav/14a05Wb.wav,0 days,0 days 00:00:03.054062500,14,female,35,3.054062,a05,anger,1.0,anger
../../../data/emodb/emodb/wav/14a07Fd.wav,0 days,0 days 00:00:02.080687500,14,female,35,2.080687,a07,happiness,0.95,happiness
../../../data/emodb/emodb/wav/14a07Wc.wav,0 days,0 days 00:00:02.063500,14,female,35,2.0635,a07,anger,0.95,anger
../../../data/emodb/emodb/wav/14b01Fa.wav,0 days,0 days 00:00:02.560250,14,female,35,2.56025,b01,happiness,0.85,happiness
../../../data/emodb/emodb/wav/14b01Fc.wav,0 days,0 days 00:00:02.540875,14,female,35,2.5408749999999998,b01,happiness,1.0,happiness
../../../data/emodb/emodb/wav/14b01Wc.wav,0 days,0 days 00:00:02.958312500,14,female,35,2.9583120000000003,b01,anger,0.95,anger
../../../data/emodb/emodb/wav/14b02Fb.wav,0 days,0 days 00:00:02.837187500,14,female,35,2.837187,b02,happiness,0.95,happiness
../../../data/emodb/emodb/wav/14b02Wb.wav,0 days,0 days 00:00:02.748125,14,female,35,2.748125,b02,anger,0.95,anger
../../../data/emodb/emodb/wav/14b02Wd.wav,0 days,0 days 00:00:02.292312500,14,female,35,2.292312,b02,anger,1.0,anger
../../../data/emodb/emodb/wav/14b03Wb.wav,0 days,0 days 00:00:03.886187500,14,female,35,3.886187,b03,anger,1.0,anger
../../../data/emodb/emodb/wav/14b09Fc.wav,0 days,0 days 00:00:02.529500,14,female,35,2.5295,b09,happiness,0.9,happiness
../../../data/emodb/emodb/wav/14b09Wa.wav,0 days,0 days 00:00:03.545312500,14,female,35,3.545312,b09,anger,0.9,anger
../../../data/emodb/emodb/wav/14b09Wc.wav,0 days,0 days 00:00:02.770687500,14,female,35,2.770687,b09,anger,0.95,anger
../../../data/emodb/emodb/wav/14b10Wc.wav,0 days,0 days 00:00:02.655312500,14,female,35,2.655312,b10,anger,1.0,anger
../../../data/emodb/emodb/wav/15a01Fb.wav,0 days,0 days 00:00:01.626625,15,male,25,1.626625,a01,happiness,0.85,happiness
../../../data/emodb/emodb/wav/15a01Wa.wav,0 days,0 days 00:00:01.831312500,15,male,25,1.831312,a01,anger,0.95,anger
../../../data/emodb/emodb/wav/15a02Wb.wav,0 days,0 days 00:00:01.807187500,15,male,25,1.8071869999999999,a02,anger,1.0,anger
../../../data/emodb/emodb/wav/15a02Wd.wav,0 days,0 days 00:00:01.820687500,15,male,25,1.820687,a02,anger,1.0,anger
../../../data/emodb/emodb/wav/15a04Fd.wav,0 days,0 days 00:00:01.791187500,15,male,25,1.7911869999999999,a04,happiness,0.9,happiness
../../../data/emodb/emodb/wav/15a04Wa.wav,0 days,0 days 00:00:01.945375,15,male,25,1.9453749999999999,a04,anger,1.0,anger
../../../data/emodb/emodb/wav/15a04Wb.wav,0 days,0 days 00:00:01.811187500,15,male,25,1.8111869999999999,a04,anger,1.0,anger
../../../data/emodb/emodb/wav/15a05Fb.wav,0 days,0 days 00:00:02.696187500,15,male,25,2.696187,a05,happiness,0.85,happiness
../../../data/emodb/emodb/wav/15a05Wa.wav,0 days,0 days 00:00:03.098500,15,male,25,3.0985,a05,anger,1.0,anger
../../../data/emodb/emodb/wav/15a07Fa.wav,0 days,0 days 00:00:01.964187500,15,male,25,1.964187,a07,happiness,0.9,happiness
../../../data/emodb/emodb/wav/15a07Fb.wav,0 days,0 days 00:00:01.935250,15,male,25,1.93525,a07,happiness,1.0,happiness
../../../data/emodb/emodb/wav/15b01Wc.wav,0 days,0 days 00:00:02.631375,15,male,25,2.6313750000000002,b01,anger,1.0,anger
../../../data/emodb/emodb/wav/15b02Wa.wav,0 days,0 days 00:00:02.765062500,15,male,25,2.765062,b02,anger,0.95,anger
../../../data/emodb/emodb/wav/15b02Wc.wav,0 days,0 days 00:00:02.623312500,15,male,25,2.623312,b02,anger,0.95,anger
../../../data/emodb/emodb/wav/15b03Wa.wav,0 days,0 days 00:00:03.362937500,15,male,25,3.362937,b03,anger,1.0,anger
../../../data/emodb/emodb/wav/15b03Wb.wav,0 days,0 days 00:00:03.021625,15,male,25,3.021625,b03,anger,1.0,anger
../../../data/emodb/emodb/wav/15b09Fa.wav,0 days,0 days 00:00:02.450937500,15,male,25,2.450937,b09,happiness,0.85,happiness
../../../data/emodb/emodb/wav/15b09Wb.wav,0 days,0 days 00:00:02.655875,15,male,25,2.655875,b09,anger,1.0,anger
../../../data/emodb/emodb/wav/15b10Wa.wav,0 days,0 days 00:00:02.633750,15,male,25,2.63375,b10,anger,0.95,anger
../../../data/emodb/emodb/wav/16a01Fc.wav,0 days,0 days 00:00:02.096375,16,female,31,2.096375,a01,happiness,0.95,happiness
../../../data/emodb/emodb/wav/16a01Wb.wav,0 days,0 days 00:00:02.199875,16,female,31,2.199875,a01,anger,1.0,anger
../../../data/emodb/emodb/wav/16a02Wb.wav,0 days,0 days 00:00:01.770062500,16,female,31,1.770062,a02,anger,1.0,anger
../../../data/emodb/emodb/wav/16a04Fa.wav,0 days,0 days 00:00:02.043875,16,female,31,2.043875,a04,happiness,1.0,happiness
../../../data/emodb/emodb/wav/16a04Wb.wav,0 days,0 days 00:00:02.561937500,16,female,31,2.561937,a04,anger,1.0,anger
../../../data/emodb/emodb/wav/16a04Wc.wav,0 days,0 days 00:00:01.944062500,16,female,31,1.944062,a04,anger,1.0,anger
../../../data/emodb/emodb/wav/16a05Fc.wav,0 days,0 days 00:00:03.612375,16,female,31,3.612375,a05,happiness,0.9,happiness
../../../data/emodb/emodb/wav/16a05Wb.wav,0 days,0 days 00:00:03.741062500,16,female,31,3.741062,a05,anger,1.0,anger
../../../data/emodb/emodb/wav/16a05Wc.wav,0 days,0 days 00:00:03.800750,16,female,31,3.80075,a05,anger,1.0,anger
../../../data/emodb/emodb/wav/16a07Fa.wav,0 days,0 days 00:00:02.371250,16,female,31,2.37125,a07,happiness,0.8,happiness
../../../data/emodb/emodb/wav/16a07Fb.wav,0 days,0 days 00:00:02.426812500,16,female,31,2.426812,a07,happiness,1.0,happiness
../../../data/emodb/emodb/wav/16a07Wa.wav,0 days,0 days 00:00:02.381812500,16,female,31,2.381812,a07,anger,0.9,anger
../../../data/emodb/emodb/wav/16b01Fa.wav,0 days,0 days 00:00:02.649750,16,female,31,2.64975,b01,happiness,0.8,happiness
../../../data/emodb/emodb/wav/16b01Wa.wav,0 days,0 days 00:00:02.609875,16,female,31,2.6098749999999997,b01,anger,1.0,anger
../../../data/emodb/emodb/wav/16b01Wb.wav,0 days,0 days 00:00:02.661687500,16,female,31,2.661687,b01,anger,1.0,anger
