file,emotion,speaker,language,gender
ESD/0019/Neutral/0019_000049.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000339.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000220.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000037.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000186.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000091.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000299.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000101.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000232.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000142.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000212.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000323.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000075.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000211.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000045.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000069.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000136.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000031.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000336.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000209.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000044.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000276.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000120.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000153.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000327.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000103.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000204.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000221.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000292.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000042.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000155.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000309.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000314.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000010.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000229.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000291.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000102.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000196.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000022.wav,Neutral,0019,english,male
ESD/0019/Neutral/0019_000096.wav,Neutral,0019,english,male
