file,emotion,speaker
./jtes_v1.1/wav/f01/ang/f01_ang_01.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_02.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_03.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_04.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_05.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_06.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_07.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_08.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_09.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_10.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_11.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_12.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_13.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_14.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_15.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_16.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_17.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_18.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_19.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_20.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_21.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_22.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_23.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_24.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_25.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_26.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_27.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_28.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_29.wav,ang,1
./jtes_v1.1/wav/f01/ang/f01_ang_30.wav,ang,1
./jtes_v1.1/wav/f01/joy/f01_joy_01.wav,joy,1
./jtes_v1.1/wav/f01/joy/f01_joy_02.wav,joy,1
./jtes_v1.1/wav/f01/joy/f01_joy_03.wav,joy,1
./jtes_v1.1/wav/f01/joy/f01_joy_04.wav,joy,1
./jtes_v1.1/wav/f01/joy/f01_joy_05.wav,joy,1
./jtes_v1.1/wav/f01/joy/f01_joy_06.wav,joy,1
./jtes_v1.1/wav/f01/joy/f01_joy_07.wav,joy,1
./jtes_v1.1/wav/f01/joy/f01_joy_08.wav,joy,1
./jtes_v1.1/wav/f01/joy/f01_joy_09.wav,joy,1
