file,speaker,task,stress
speech/actual/helicopt/dt/hist/break1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/break2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/change1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/change2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/degree1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/degree2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/destin1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/destin2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/east1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/east2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/eight1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/eight2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/eighty1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/eighty2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/enter1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/enter2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/fifty1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/fifty2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/fix1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/fix2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/freeze1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/freeze2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/gain1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/gain2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/go1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/go2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/hello1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/hello2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/help1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/help2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/histog1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/histog2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/hot1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/hot2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/mark1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/mark2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/nav1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/nav2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/no1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/no2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/oh1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/oh2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/on1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/on2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/out1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/out2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/point1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/point2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/six1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/six2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/south1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/south2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/stand1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/stand2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/steer1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/steer2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/strafe1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/strafe2.wav,dt,hist,2
speech/actual/helicopt/dt/hist/ten1.wav,dt,hist,2
speech/actual/helicopt/dt/hist/ten2.wav,dt,hist,2
