file,emotion,speaker_id,split
AudioWAV/1067_MTI_SAD_XX.wav,sad,1067,0
AudioWAV/1028_TSI_ANG_XX.wav,angry,1028,0
AudioWAV/1025_IOM_HAP_XX.wav,happy,1025,0
AudioWAV/1063_IWL_FEA_XX.wav,fear,1063,0
AudioWAV/1062_IWW_SAD_XX.wav,sad,1062,0
AudioWAV/1023_ITS_HAP_XX.wav,happy,1023,0
AudioWAV/1042_IEO_FEA_MD.wav,fear,1042,0
AudioWAV/1012_IOM_ANG_XX.wav,angry,1012,0
AudioWAV/1064_ITS_HAP_XX.wav,happy,1064,0
AudioWAV/1060_DFA_DIS_XX.wav,disgust,1060,0
AudioWAV/1040_IEO_DIS_LO.wav,disgust,1040,0
AudioWAV/1002_TSI_SAD_XX.wav,sad,1002,0
AudioWAV/1022_IOM_NEU_XX.wav,neutral,1022,0
AudioWAV/1086_DFA_SAD_XX.wav,sad,1086,0
AudioWAV/1037_IWL_HAP_XX.wav,happy,1037,0
AudioWAV/1086_TSI_ANG_XX.wav,angry,1086,0
AudioWAV/1008_TIE_SAD_XX.wav,sad,1008,0
AudioWAV/1078_IEO_FEA_MD.wav,fear,1078,0
AudioWAV/1072_DFA_NEU_XX.wav,neutral,1072,0
AudioWAV/1040_IEO_ANG_LO.wav,angry,1040,0
AudioWAV/1075_IWW_ANG_XX.wav,angry,1075,0
AudioWAV/1002_ITS_HAP_XX.wav,happy,1002,0
AudioWAV/1044_IWW_HAP_XX.wav,happy,1044,0
AudioWAV/1025_TSI_NEU_XX.wav,neutral,1025,0
AudioWAV/1002_IEO_FEA_MD.wav,fear,1002,0
AudioWAV/1028_TAI_ANG_XX.wav,angry,1028,0
AudioWAV/1047_IOM_SAD_XX.wav,sad,1047,0
AudioWAV/1031_IEO_HAP_MD.wav,happy,1031,0
AudioWAV/1068_TSI_DIS_XX.wav,disgust,1068,0
AudioWAV/1078_WSI_ANG_XX.wav,angry,1078,0
AudioWAV/1064_WSI_SAD_XX.wav,sad,1064,0
AudioWAV/1075_TSI_FEA_XX.wav,fear,1075,0
AudioWAV/1022_IEO_DIS_LO.wav,disgust,1022,0
AudioWAV/1083_IEO_SAD_LO.wav,sad,1083,0
AudioWAV/1062_DFA_SAD_XX.wav,sad,1062,0
AudioWAV/1044_MTI_SAD_XX.wav,sad,1044,0
