FileName,Angry,Sad,Happy,Surprise,Fear,Disgust,Contempt,Neutral,Split_Set
MSP-PODCAST_0003_0052.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0084.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0086.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0106.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0113.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0114.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0115.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0126.wav,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Train
MSP-PODCAST_0003_0129.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0190.wav,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Train
MSP-PODCAST_0003_0223.wav,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0283.wav,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Train
MSP-PODCAST_0003_0285.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0303.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0304.wav,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Train
MSP-PODCAST_0003_0307.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0348.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0373.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0374.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0398.wav,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0404.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0434.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0435.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0448.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0470.wav,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Train
MSP-PODCAST_0003_0540.wav,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0541.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0544.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0547.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0554.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0575.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0583.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0584.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0588.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0591.wav,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0593.wav,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Train
MSP-PODCAST_0003_0594.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0605.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0003_0609.wav,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Train
MSP-PODCAST_0003_0630.wav,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0003_0635.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Train
MSP-PODCAST_0004_0076.wav,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Train
MSP-PODCAST_0004_0091.wav,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Train
MSP-PODCAST_0004_0114.wav,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Train
MSP-PODCAST_0005_0005.wav,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Train
MSP-PODCAST_0005_0042.wav,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Train
